Timestamp,Ax,Ay,Az,P,LPFRMSAcc,LPFPValue,Value,Detection,Type
69.48,0.191465974,4.122984409,9.043528557,990.7316284,9.847671809,990.7262794,0,0,
69.52,0.14604646,4.101534843,9.128745079,990.7391968,9.848003566,990.7264102,0,0,
69.56,0.322887838,4.184950352,9.112174034,990.7140503,9.84896066,990.7264808,0,0,
69.6,0.537967622,4.425661564,8.854147911,990.7114258,9.850037658,990.7264886,0,0,
69.64,0.557075381,4.323180676,8.889655113,990.7368164,9.851172098,990.7265322,0,0,
69.68,0.580963075,4.251682758,9.131109238,990.723938,9.8530313,990.726561,0,0,
69.72,0.607240677,4.251683235,9.086131096,990.7215576,9.855383322,990.7265679,0,0,
69.76,0.609619141,4.263599873,9.261301994,990.7366333,9.858751851,990.7266099,0,0,
69.8,0.700423956,4.501927853,8.771290779,990.7442017,9.861819179,990.7267098,0,0,
69.84,0.494881034,4.339865208,9.097964287,990.7442627,9.865358798,990.7268609,0,0,
69.88,0.557007194,4.225468159,9.382027626,990.7141724,9.870068107,990.7269482,0,0,
69.92,0.408821821,4.001440048,9.779715538,990.7164307,9.876765447,990.7269871,0,0,
69.96,0.129191935,3.932325602,10.17267036,990.6989746,9.886392131,990.7269202,0,0,
70,0.621500373,4.580577374,7.980640888,990.6962891,9.892509049,990.7267503,0,0,
